question,sql_query,data_preview
Which products have the highest profit margin?,"SELECT
  p.product_name,
  SUM(s.order_quantity * (p.product_price - p.product_cost)) AS profit,
  SUM(s.order_quantity * p.product_price) AS revenue,
  CASE
    WHEN SUM(s.order_quantity * p.product_price) > 0
    THEN (SUM(s.order_quantity * (p.product_price - p.product_cost)) * 100.0) / SUM(s.order_quantity * p.product_price)
    ELSE 0
  END AS profit_margin_percentage
FROM fact_sales s
JOIN dim_products p ON s.product_key = p.product_key
GROUP BY
  p.product_name
ORDER BY
  profit_margin_percentage DESC;","{""product_name"":{""0"":""Sport-100 Helmet, Black"",""1"":""Sport-100 Helmet, Blue"",""2"":""Fender Set - Mountain"",""3"":""Classic Vest, S"",""4"":""Hitch Rack - 4-Bike""},""profit"":{""0"":41935.816,""1"":43124.718,""2"":54487.62,""3"":6240.907,""4"":22686.24},""revenue"":{""0"":65269.748,""1"":67120.179,""2"":87040.8,""3"":9969.5,""4"":36240.0},""profit_margin_percentage"":{""0"":64.2500044584,""1"":64.2500044584,""2"":62.6000909918,""3"":62.6,""4"":62.6}}"
Which products have the highest profit margin?,"SELECT
  p.product_key,
  p.product_name,
  SUM(s.order_quantity * (p.product_price - p.product_cost)) AS profit,
  SUM(s.order_quantity * p.product_price) AS revenue,
  CASE
    WHEN SUM(s.order_quantity * p.product_price) = 0 THEN 0
    ELSE (SUM(s.order_quantity * (p.product_price - p.product_cost)) * 100.0) / SUM(s.order_quantity * p.product_price)
  END AS profit_margin_percentage
FROM fact_sales s
JOIN dim_products p ON s.product_key = p.product_key
GROUP BY
  p.product_key,
  p.product_name
ORDER BY
  profit_margin_percentage DESC;","{""product_key"":{""0"":215,""1"":220,""2"":485,""3"":472,""4"":486},""product_name"":{""0"":""Sport-100 Helmet, Black"",""1"":""Sport-100 Helmet, Blue"",""2"":""Fender Set - Mountain"",""3"":""Classic Vest, M"",""4"":""All-Purpose Bike Stand""},""profit"":{""0"":41935.816,""1"":43124.718,""2"":54487.62,""3"":7234.682,""4"":23290.956},""revenue"":{""0"":65269.748,""1"":67120.179,""2"":87040.8,""3"":11557.0,""4"":37206.0},""profit_margin_percentage"":{""0"":64.2500044584,""1"":64.2500044584,""2"":62.6000909918,""3"":62.6,""4"":62.6}}"
Which products have the highest profit margin?,"SELECT
  dp.product_name,
  SUM(fs.order_quantity * (dp.product_price - dp.product_cost)) AS profit,
  SUM(fs.order_quantity * dp.product_price) AS revenue,
  (SUM(fs.order_quantity * (dp.product_price - dp.product_cost)) * 1.0 / NULLIF(SUM(fs.order_quantity * dp.product_price), 0)) AS profit_margin
FROM fact_sales fs
JOIN dim_products dp ON fs.product_key = dp.product_key
GROUP BY
  dp.product_name
HAVING
  SUM(fs.order_quantity * dp.product_price) > 0
ORDER BY
  profit_margin DESC;","{""product_name"":{""0"":""Sport-100 Helmet, Black"",""1"":""Sport-100 Helmet, Blue"",""2"":""Fender Set - Mountain"",""3"":""Classic Vest, S"",""4"":""Hitch Rack - 4-Bike""},""profit"":{""0"":41935.816,""1"":43124.718,""2"":54487.62,""3"":6240.907,""4"":22686.24},""revenue"":{""0"":65269.748,""1"":67120.179,""2"":87040.8,""3"":9969.5,""4"":36240.0},""profit_margin"":{""0"":0.6425000446,""1"":0.6425000446,""2"":0.6260009099,""3"":0.626,""4"":0.626}}"
Which products have the highest profit margin?,"SELECT
  p.product_name,
  p.product_key,
  SUM(s.order_quantity * (p.product_price - p.product_cost)) AS profit,
  SUM(s.order_quantity * p.product_price) AS revenue,
  CASE
    WHEN SUM(s.order_quantity * p.product_price) = 0 THEN 0
    ELSE (SUM(s.order_quantity * (p.product_price - p.product_cost)) * 1.0) / SUM(s.order_quantity * p.product_price)
  END AS profit_margin
FROM fact_sales s
JOIN dim_products p ON s.product_key = p.product_key
GROUP BY
  p.product_key,
  p.product_name
ORDER BY
  profit_margin DESC;","{""product_name"":{""0"":""Sport-100 Helmet, Black"",""1"":""Sport-100 Helmet, Blue"",""2"":""Fender Set - Mountain"",""3"":""Classic Vest, M"",""4"":""All-Purpose Bike Stand""},""product_key"":{""0"":215,""1"":220,""2"":485,""3"":472,""4"":486},""profit"":{""0"":41935.816,""1"":43124.718,""2"":54487.62,""3"":7234.682,""4"":23290.956},""revenue"":{""0"":65269.748,""1"":67120.179,""2"":87040.8,""3"":11557.0,""4"":37206.0},""profit_margin"":{""0"":0.6425000446,""1"":0.6425000446,""2"":0.6260009099,""3"":0.626,""4"":0.626}}"
Which products have the highest profit margin?,"SELECT p.product_name, ((p.product_price - p.product_cost) / NULLIF(p.product_price, 0)) AS profit_margin FROM dim_products p WHERE p.product_price IS NOT NULL AND p.product_cost IS NOT NULL AND p.product_price > 0 ORDER BY profit_margin DESC;","{""product_name"":{""0"":""Sport-100 Helmet, Black"",""1"":""Sport-100 Helmet, Blue"",""2"":""Mountain Bike Socks, M"",""3"":""Mountain Bike Socks, L"",""4"":""Fender Set - Mountain""},""profit_margin"":{""0"":0.6425000446,""1"":0.6425000446,""2"":0.6424947368,""3"":0.6424947368,""4"":0.6260009099}}"
Which products have the highest profit margin?,"SELECT
  dp.product_key,
  dp.product_name,
  SUM(fs.order_quantity * (dp.product_price - dp.product_cost)) AS total_profit,
  SUM(fs.order_quantity * dp.product_price) AS total_revenue,
  (SUM(fs.order_quantity * (dp.product_price - dp.product_cost)) * 100.0) / NULLIF(SUM(fs.order_quantity * dp.product_price), 0) AS profit_margin_percentage
FROM fact_sales fs
JOIN dim_products dp ON fs.product_key = dp.product_key
GROUP BY
  dp.product_key,
  dp.product_name
HAVING SUM(fs.order_quantity * dp.product_price) > 0
ORDER BY
  profit_margin_percentage DESC;","{""product_key"":{""0"":215,""1"":220,""2"":485,""3"":472,""4"":486},""product_name"":{""0"":""Sport-100 Helmet, Black"",""1"":""Sport-100 Helmet, Blue"",""2"":""Fender Set - Mountain"",""3"":""Classic Vest, M"",""4"":""All-Purpose Bike Stand""},""total_profit"":{""0"":41935.816,""1"":43124.718,""2"":54487.62,""3"":7234.682,""4"":23290.956},""total_revenue"":{""0"":65269.748,""1"":67120.179,""2"":87040.8,""3"":11557.0,""4"":37206.0},""profit_margin_percentage"":{""0"":64.2500044584,""1"":64.2500044584,""2"":62.6000909918,""3"":62.6,""4"":62.6}}"
Which products have the highest profit margin?,"SELECT
  p.product_name,
  SUM(s.order_quantity * (p.product_price - p.product_cost)) AS profit,
  SUM(s.order_quantity * p.product_price) AS revenue,
  (SUM(s.order_quantity * (p.product_price - p.product_cost)) * 100.0) / NULLIF(SUM(s.order_quantity * p.product_price), 0) AS profit_margin_percentage
FROM fact_sales s
JOIN dim_products p ON s.product_key = p.product_key
GROUP BY
  p.product_key, p.product_name
ORDER BY
  profit_margin_percentage DESC;","{""product_name"":{""0"":""Sport-100 Helmet, Black"",""1"":""Sport-100 Helmet, Blue"",""2"":""Fender Set - Mountain"",""3"":""Classic Vest, M"",""4"":""All-Purpose Bike Stand""},""profit"":{""0"":41935.816,""1"":43124.718,""2"":54487.62,""3"":7234.682,""4"":23290.956},""revenue"":{""0"":65269.748,""1"":67120.179,""2"":87040.8,""3"":11557.0,""4"":37206.0},""profit_margin_percentage"":{""0"":64.2500044584,""1"":64.2500044584,""2"":62.6000909918,""3"":62.6,""4"":62.6}}"
Which products have the highest profit margin?,"SELECT
  p.product_name,
  p.product_price,
  p.product_cost,
  (p.product_price - p.product_cost) AS profit_per_unit,
  CASE
    WHEN p.product_price > 0 THEN (p.product_price - p.product_cost) / p.product_price
    ELSE 0
  END AS profit_margin
FROM dim_products p
ORDER BY
  profit_margin DESC;","{""product_name"":{""0"":""Sport-100 Helmet, Black"",""1"":""Sport-100 Helmet, Blue"",""2"":""Mountain Bike Socks, M"",""3"":""Mountain Bike Socks, L"",""4"":""Fender Set - Mountain""},""product_price"":{""0"":33.6442,""1"":33.6442,""2"":9.5,""3"":9.5,""4"":21.98},""product_cost"":{""0"":12.0278,""1"":12.0278,""2"":3.3963,""3"":3.3963,""4"":8.2205},""profit_per_unit"":{""0"":21.6164,""1"":21.6164,""2"":6.1037,""3"":6.1037,""4"":13.7595},""profit_margin"":{""0"":0.6425000446,""1"":0.6425000446,""2"":0.6424947368,""3"":0.6424947368,""4"":0.6260009099}}"
Which products have the highest profit margin?,"SELECT
  p.product_name,
  p.product_key,
  SUM(s.order_quantity * (p.product_price - p.product_cost)) AS profit,
  SUM(s.order_quantity * p.product_price) AS revenue,
  CASE
    WHEN SUM(s.order_quantity * p.product_price) = 0 THEN 0
    ELSE SUM(s.order_quantity * (p.product_price - p.product_cost)) / SUM(s.order_quantity * p.product_price)
  END AS profit_margin
FROM fact_sales s
JOIN dim_products p ON s.product_key = p.product_key
GROUP BY
  p.product_name,
  p.product_key
HAVING
  SUM(s.order_quantity * p.product_price) > 0 -- Ensure we only consider products with sales
ORDER BY
  profit_margin DESC;","{""product_name"":{""0"":""Sport-100 Helmet, Black"",""1"":""Sport-100 Helmet, Blue"",""2"":""Fender Set - Mountain"",""3"":""Classic Vest, M"",""4"":""All-Purpose Bike Stand""},""product_key"":{""0"":215,""1"":220,""2"":485,""3"":472,""4"":486},""profit"":{""0"":41935.816,""1"":43124.718,""2"":54487.62,""3"":7234.682,""4"":23290.956},""revenue"":{""0"":65269.748,""1"":67120.179,""2"":87040.8,""3"":11557.0,""4"":37206.0},""profit_margin"":{""0"":0.6425000446,""1"":0.6425000446,""2"":0.6260009099,""3"":0.626,""4"":0.626}}"
Which products have the highest profit margin?,"SELECT p.product_name, (p.product_price - p.product_cost) AS profit_margin_per_unit FROM dim_products p ORDER BY profit_margin_per_unit DESC;","{""product_name"":{""0"":""Mountain-100 Silver, 48"",""1"":""Mountain-100 Silver, 38"",""2"":""Mountain-100 Silver, 42"",""3"":""Mountain-100 Silver, 44"",""4"":""Mountain-100 Black, 48""},""profit_margin_per_unit"":{""0"":1487.8356,""1"":1487.8356,""2"":1487.8356,""3"":1487.8356,""4"":1476.8956}}"
Which products have the highest profit margin?,"SELECT
  p.product_name,
  SUM(s.order_quantity * (p.product_price - p.product_cost)) AS total_profit,
  SUM(s.order_quantity * p.product_price) AS total_revenue,
  (SUM(s.order_quantity * (p.product_price - p.product_cost)) / NULLIF(SUM(s.order_quantity * p.product_price), 0)) * 100 AS profit_margin_percentage
FROM fact_sales s
JOIN dim_products p ON s.product_key = p.product_key
GROUP BY
  p.product_key,
  p.product_name
HAVING
  SUM(s.order_quantity * p.product_price) > 0
ORDER BY
  profit_margin_percentage DESC;","{""product_name"":{""0"":""Sport-100 Helmet, Black"",""1"":""Sport-100 Helmet, Blue"",""2"":""Fender Set - Mountain"",""3"":""Classic Vest, M"",""4"":""All-Purpose Bike Stand""},""total_profit"":{""0"":41935.816,""1"":43124.718,""2"":54487.62,""3"":7234.682,""4"":23290.956},""total_revenue"":{""0"":65269.748,""1"":67120.179,""2"":87040.8,""3"":11557.0,""4"":37206.0},""profit_margin_percentage"":{""0"":64.2500044584,""1"":64.2500044584,""2"":62.6000909918,""3"":62.6,""4"":62.6}}"
Which products have the highest profit margin?,"SELECT
  dp.product_name,
  SUM(fs.order_quantity * (dp.product_price - dp.product_cost)) AS profit,
  SUM(fs.order_quantity * dp.product_price) AS revenue,
  (SUM(fs.order_quantity * (dp.product_price - dp.product_cost)) * 1.0 / NULLIF(SUM(fs.order_quantity * dp.product_price), 0)) AS profit_margin
FROM fact_sales fs
JOIN dim_products dp ON fs.product_key = dp.product_key
GROUP BY
  dp.product_key, dp.product_name
ORDER BY
  profit_margin DESC;","{""product_name"":{""0"":""Sport-100 Helmet, Black"",""1"":""Sport-100 Helmet, Blue"",""2"":""Fender Set - Mountain"",""3"":""Classic Vest, M"",""4"":""All-Purpose Bike Stand""},""profit"":{""0"":41935.816,""1"":43124.718,""2"":54487.62,""3"":7234.682,""4"":23290.956},""revenue"":{""0"":65269.748,""1"":67120.179,""2"":87040.8,""3"":11557.0,""4"":37206.0},""profit_margin"":{""0"":0.6425000446,""1"":0.6425000446,""2"":0.6260009099,""3"":0.626,""4"":0.626}}"
Which products have the highest profit margin?,"SELECT
  dp.product_key,
  dp.product_name,
  SUM(fs.order_quantity * dp.product_price) AS total_revenue,
  SUM(fs.order_quantity * (dp.product_price - dp.product_cost)) AS total_profit,
  CASE
    WHEN SUM(fs.order_quantity * dp.product_price) > 0
    THEN SUM(fs.order_quantity * (dp.product_price - dp.product_cost)) * 1.0 / SUM(fs.order_quantity * dp.product_price)
    ELSE 0
  END AS profit_margin
FROM fact_sales AS fs
JOIN dim_products AS dp
  ON fs.product_key = dp.product_key
GROUP BY
  dp.product_key,
  dp.product_name
ORDER BY
  profit_margin DESC;","{""product_key"":{""0"":215,""1"":220,""2"":485,""3"":472,""4"":486},""product_name"":{""0"":""Sport-100 Helmet, Black"",""1"":""Sport-100 Helmet, Blue"",""2"":""Fender Set - Mountain"",""3"":""Classic Vest, M"",""4"":""All-Purpose Bike Stand""},""total_revenue"":{""0"":65269.748,""1"":67120.179,""2"":87040.8,""3"":11557.0,""4"":37206.0},""total_profit"":{""0"":41935.816,""1"":43124.718,""2"":54487.62,""3"":7234.682,""4"":23290.956},""profit_margin"":{""0"":0.6425000446,""1"":0.6425000446,""2"":0.6260009099,""3"":0.626,""4"":0.626}}"
Which products have the highest profit margin?,"SELECT
  p.product_name,
  CASE
    WHEN p.product_price > 0 THEN (p.product_price - p.product_cost) / p.product_price
    ELSE 0
  END AS profit_margin
FROM dim_products p
WHERE p.product_price IS NOT NULL AND p.product_cost IS NOT NULL
ORDER BY
  profit_margin DESC;","{""product_name"":{""0"":""Sport-100 Helmet, Black"",""1"":""Sport-100 Helmet, Blue"",""2"":""Mountain Bike Socks, M"",""3"":""Mountain Bike Socks, L"",""4"":""Fender Set - Mountain""},""profit_margin"":{""0"":0.6425000446,""1"":0.6425000446,""2"":0.6424947368,""3"":0.6424947368,""4"":0.6260009099}}"
Which products have the highest profit margin?,"SELECT
  p.product_name,
  SUM(s.order_quantity * (p.product_price - p.product_cost)) AS profit,
  SUM(s.order_quantity * p.product_price) AS revenue,
  (SUM(s.order_quantity * (p.product_price - p.product_cost)) * 100.0) / NULLIF(SUM(s.order_quantity * p.product_price), 0) AS profit_margin_percentage
FROM fact_sales s
JOIN dim_products p
  ON s.product_key = p.product_key
GROUP BY
  p.product_key,
  p.product_name
ORDER BY
  profit_margin_percentage DESC;","{""product_name"":{""0"":""Sport-100 Helmet, Black"",""1"":""Sport-100 Helmet, Blue"",""2"":""Fender Set - Mountain"",""3"":""Classic Vest, M"",""4"":""All-Purpose Bike Stand""},""profit"":{""0"":41935.816,""1"":43124.718,""2"":54487.62,""3"":7234.682,""4"":23290.956},""revenue"":{""0"":65269.748,""1"":67120.179,""2"":87040.8,""3"":11557.0,""4"":37206.0},""profit_margin_percentage"":{""0"":64.2500044584,""1"":64.2500044584,""2"":62.6000909918,""3"":62.6,""4"":62.6}}"
Which products have the highest profit margin?,"SELECT
  p.product_name,
  SUM(s.order_quantity * (p.product_price - p.product_cost)) AS profit,
  SUM(s.order_quantity * p.product_price) AS revenue,
  (SUM(s.order_quantity * (p.product_price - p.product_cost)) * 1.0 / NULLIF(SUM(s.order_quantity * p.product_price), 0)) AS profit_margin
FROM fact_sales s
JOIN dim_products p ON s.product_key = p.product_key
GROUP BY
  p.product_key,
  p.product_name
ORDER BY
  profit_margin DESC;","{""product_name"":{""0"":""Sport-100 Helmet, Black"",""1"":""Sport-100 Helmet, Blue"",""2"":""Fender Set - Mountain"",""3"":""Classic Vest, M"",""4"":""All-Purpose Bike Stand""},""profit"":{""0"":41935.816,""1"":43124.718,""2"":54487.62,""3"":7234.682,""4"":23290.956},""revenue"":{""0"":65269.748,""1"":67120.179,""2"":87040.8,""3"":11557.0,""4"":37206.0},""profit_margin"":{""0"":0.6425000446,""1"":0.6425000446,""2"":0.6260009099,""3"":0.626,""4"":0.626}}"
Which products have the highest profit margin?,"SELECT
  dp.product_key,
  dp.product_name,
  SUM(fs.order_quantity * (dp.product_price - dp.product_cost)) AS total_profit,
  SUM(fs.order_quantity * dp.product_price) AS total_revenue,
  CASE
    WHEN SUM(fs.order_quantity * dp.product_price) > 0 THEN
      (SUM(fs.order_quantity * (dp.product_price - dp.product_cost)) * 100.0) / SUM(fs.order_quantity * dp.product_price)
    ELSE 0
  END AS profit_margin_percentage
FROM fact_sales fs
JOIN dim_products dp
  ON fs.product_key = dp.product_key
GROUP BY
  dp.product_key,
  dp.product_name
ORDER BY
  profit_margin_percentage DESC;","{""product_key"":{""0"":215,""1"":220,""2"":485,""3"":472,""4"":486},""product_name"":{""0"":""Sport-100 Helmet, Black"",""1"":""Sport-100 Helmet, Blue"",""2"":""Fender Set - Mountain"",""3"":""Classic Vest, M"",""4"":""All-Purpose Bike Stand""},""total_profit"":{""0"":41935.816,""1"":43124.718,""2"":54487.62,""3"":7234.682,""4"":23290.956},""total_revenue"":{""0"":65269.748,""1"":67120.179,""2"":87040.8,""3"":11557.0,""4"":37206.0},""profit_margin_percentage"":{""0"":64.2500044584,""1"":64.2500044584,""2"":62.6000909918,""3"":62.6,""4"":62.6}}"
Which products have the highest profit margin?,"SELECT
  p.product_name,
  SUM(s.order_quantity * (p.product_price - p.product_cost)) AS profit,
  SUM(s.order_quantity * p.product_price) AS revenue,
  CASE
    WHEN SUM(s.order_quantity * p.product_price) = 0 THEN 0
    ELSE SUM(s.order_quantity * (p.product_price - p.product_cost)) / SUM(s.order_quantity * p.product_price)
  END AS profit_margin
FROM fact_sales s
JOIN dim_products p ON s.product_key = p.product_key
GROUP BY
  p.product_key, p.product_name
ORDER BY
  profit_margin DESC;","{""product_name"":{""0"":""Sport-100 Helmet, Black"",""1"":""Sport-100 Helmet, Blue"",""2"":""Fender Set - Mountain"",""3"":""Classic Vest, M"",""4"":""All-Purpose Bike Stand""},""profit"":{""0"":41935.816,""1"":43124.718,""2"":54487.62,""3"":7234.682,""4"":23290.956},""revenue"":{""0"":65269.748,""1"":67120.179,""2"":87040.8,""3"":11557.0,""4"":37206.0},""profit_margin"":{""0"":0.6425000446,""1"":0.6425000446,""2"":0.6260009099,""3"":0.626,""4"":0.626}}"
Which products have the highest profit margin?,"SELECT
  p.product_name,
  ((p.product_price - p.product_cost) / p.product_price) * 100 AS profit_margin_percentage
FROM
  dim_products p
WHERE
  p.product_price > 0 -- To avoid division by zero for profit margin calculation
ORDER BY
  profit_margin_percentage DESC;","{""product_name"":{""0"":""Sport-100 Helmet, Black"",""1"":""Sport-100 Helmet, Blue"",""2"":""Mountain Bike Socks, M"",""3"":""Mountain Bike Socks, L"",""4"":""Fender Set - Mountain""},""profit_margin_percentage"":{""0"":64.2500044584,""1"":64.2500044584,""2"":64.2494736842,""3"":64.2494736842,""4"":62.6000909918}}"
